!         xpos (m)          ypos (m)          Va (m/s)       alpha (deg)       
         -20349.83           876.5323           110.5874             5.0000
         -20177.66           876.5323           110.5874             5.0000
         -20005.49           876.5323           110.5874             5.0000
         -19833.32           876.5323           110.5874             5.0000
         -19661.14           876.5323           110.5874             5.0000
         -19488.97           876.5323           110.5874             5.0000
         -19316.80           876.5323           110.5874             5.0000
         -19144.63           876.5323           110.5874             5.0000
         -18972.45           876.5323           110.5874             5.0000
         -18800.28           876.5323           110.5874             5.0000
         -18628.11           876.5323           110.5874             5.0000
         -18455.93           876.5323           110.5874             5.0000
         -18283.76           876.5323           110.5874             5.0000
         -18111.59           876.5323           110.5874             5.0000
         -17939.42           876.5323           110.5874             5.0000
         -17767.24           876.5323           110.5874             5.0000
         -17595.07           876.5323           110.5874             5.0000
         -17422.90           876.5323           110.5874             5.0000
         -17250.73           876.5323           110.5874             5.0000
         -17078.55           876.5323           110.5874             5.0000
         -16906.38           876.5323           110.5874             5.0000
         -16734.27           876.5323           110.5874             5.0000
         -16562.61           867.5792           110.1140             5.0000
         -16391.66           858.6204           109.6403             5.0000
         -16221.46           849.7004           109.1687             5.0000
         -16051.99           840.8188           108.6991             5.0000
         -15883.23           831.9749           108.2314             5.0000
         -15715.22           823.1698           107.7659             5.0000
         -15547.92           814.4021           107.3023             5.0000
         -15381.34           805.6718           106.8406             5.0000
         -15215.49           796.9797           106.3810             5.0000
         -15050.34           788.3246           105.9234             5.0000
         -14885.89           779.7065           105.4677             5.0000
         -14722.17           771.1259           105.0140             5.0000
         -14559.14           762.5821           104.5623             5.0000
         -14396.81           754.0748           104.1124             5.0000
         -14235.18           745.6039           103.6645             5.0000
         -14074.25           737.1699           103.2186             5.0000
         -13914.01           728.7721           102.7745             5.0000
         -13754.46           720.4103           102.3324             5.0000
         -13595.59           712.0843           101.8922             5.0000
         -13437.40           703.7940           101.4538             5.0000
         -13279.89           695.5396           101.0173             5.0000
         -13123.07           687.3208           100.5828             5.0000
         -12966.92           679.1372           100.1501             5.0000
         -12811.44           670.9888            99.7192             5.0000
         -12656.63           662.8754            99.2902             5.0000
         -12502.48           654.7969            98.8631             5.0000
         -12348.99           646.7530            98.4377             5.0000
         -12196.17           638.7438            98.0142             5.0000
         -12044.00           630.7689            97.5926             5.0000
         -11892.48           622.8284            97.1727             5.0000
         -11741.62           614.9220            96.7546             5.0000
         -11591.40           607.0496            96.3384             5.0000
         -11441.84           599.2111            95.9239             5.0000
         -11292.91           591.4063            95.5112             5.0000
         -11144.63           583.6350            95.1003             5.0000
         -10996.98           575.8972            94.6912             5.0000
         -10849.97           568.1926            94.2838             5.0000
         -10703.59           560.5212            93.8782             5.0000
         -10557.84           552.8827            93.4743             5.0000
         -10412.71           545.2770            93.0721             5.0000
         -10268.21           537.7040            92.6717             5.0000
         -10124.33           530.1635            92.2730             5.0000
          -9981.06           522.6553            91.8760             5.0000
          -9838.42           515.1796            91.4807             5.0000
          -9696.39           507.7362            91.0871             5.0000
          -9554.97           500.3248            90.6953             5.0000
          -9414.16           492.9450            90.3050             5.0000
          -9273.95           485.5969            89.9165             5.0000
          -9134.34           478.2802            89.5296             5.0000
          -8995.34           470.9956            89.1445             5.0000
          -8856.94           463.7421            88.7609             5.0000
          -8719.12           456.5196            88.3790             5.0000
