!          P3 (Pa)           P4 (Pa)           P7 (Pa)            T3 (K)            T4 (K)            T5 (K)         W3 (kg/s)        
  593701.320398138   572762.609587858    83069.829076067      517.632664582      875.632854087      531.132201712        7.388239223
  594330.885787866   573369.803530102    83162.058047691      517.732232326      875.783987306      531.236103921        7.395392161
  594687.386961639   573711.170927105    83253.484481856       517.75434108      875.714639468      531.250922967        7.400121871
  595067.038417769   574076.653778605    83345.080087711       517.78633856      875.733730792      531.321466961        7.404754447
  595591.365207692   574581.389224646    83437.212468239      517.855811483      875.799306419      531.390828011         7.41097514
  596228.757494532   575196.184846061     83529.79181872      517.957128748       875.95546734       531.49677274        7.418200381
  596580.218233148   575534.220985202    83621.540885552      517.980924107      875.951486534      531.558053609        7.422583727
   597074.47490518    576009.67337289    83713.820560129      518.041601192      875.992161664      531.617389489        7.428539367
  597636.959486082     576551.5376065    83806.402273128      518.121427856      876.087286006      531.698709565        7.435101534
  598040.893089749   576940.649903413    83898.566132079      518.159808276      876.125045124      531.776898533        7.439951742
  598710.884771958   577587.158266252    83991.658341926      518.269703964      876.305638894      531.892718397        7.447469665
  599093.968103288   577955.971523393    84083.918477889      518.302038478      876.326386691      531.964076198        7.452135379
   599599.99630695   578442.864988392    84176.644827718      518.365544604      876.375294271      532.026782166        7.458198665
   600368.97415289   579185.716068078    84270.301691078      518.502856695      876.633742099      532.174012316        7.466597346
  600820.791222049   579621.431108355    84363.029404801      518.554242378      876.708763438      532.267303097        7.471874453
  601134.072398789   579920.689443992    84455.379700899      518.563308857      876.603289085      532.267774903        7.476228305
  601715.792768826    580481.24703912     84548.67804913      518.647652094      876.711436925      532.354398486        7.482966372
  602035.318908698   580788.185594385    84641.225809105      518.661697726      876.680852181      532.405178056        7.487069717
  602692.747426576   581422.430358148    84734.932403356      518.767051387      876.848622439      532.515843657        7.494481319
  603111.972842887   581824.803735314    84827.953496497      518.805558317      876.826919662      532.550165075        7.499778365
  603540.796305419   582238.128815684    84921.100599171       518.85000543      876.882797238      532.635845047        7.504853285
  604136.750602697   582812.522365179    85014.855752916      518.937795744      877.000841278      532.726488366        7.511720959
  604693.344243753   583348.598079048    85108.566473605      519.014454647      877.087366657      532.804440981        7.518239806
  605185.036138328   583823.112928557    85202.163296686      519.076188737      877.192401918      532.909959133        7.523874122
  605603.652869219   584224.878236261    85295.594863323      519.114124867      877.169369892      532.943818099        7.529168799
  606178.669190655   584780.495999452    85389.624987508      519.198916283      877.339821426       533.07570071        7.535543734
  606650.886013577   585234.427828231    85483.394336936      519.251630598      877.358719765      533.126463112        7.541315626
  607148.806764489   585713.374942506    85577.329105136      519.311420888      877.397678263      533.185312976        7.547316517
