!          P3 (Pa)           P4 (Pa)           P7 (Pa)            T3 (K)            T4 (K)            T5 (K)         W3 (kg/s)        
  1060868.91793626   1027037.33376423    99842.168291039      608.283904275     1122.071909055      639.003272109       11.580616413
   1057532.7036008   1023811.29874702     99895.75449493      607.834598422     1121.421611384      639.219115278       11.547815427
 1064633.146153604  1030704.494815402   100007.206042365      608.742752288     1123.585584287      639.687563343       11.613394996
  1078417.11981871  1044077.679835402   100137.446013807      610.507798521      1127.50718644      640.268375946       11.741867958
 1096213.482061889  1061341.826830649   100297.885140803      612.758007082     1132.437837264      640.935660602       11.907817291
 1117196.073052574  1081696.751849174   100462.566343504      615.375895574     1138.151338867      641.643950164       12.103118724
 1133702.712626087  1097711.927909831   100619.020607709      617.398369084     1142.627486385      642.258315514       12.256185376
 1144232.262142159  1107923.582160217   100736.489306859      618.693707113     1145.347728612      642.564523883       12.354275571
   1145666.4618857  1109320.318555848   100811.686254489       618.85380433     1145.865123907      642.809419432        12.36679165
 1135899.863491554  1099864.894533774   100834.891051094      617.613660856     1143.771670742      643.056243622       12.273444478
 1106650.233884672  1071507.088949665   100779.898028215      613.968971094     1136.383216592      642.731296789       11.999001276
 1102499.060047028  1067488.647481521   100829.681825251      613.432296307     1135.488099472      642.894652001       11.959064793
 1134664.306269569  1098686.883694015     101046.5186867      617.405665356     1143.970287433      643.760617306       12.259033289
  1200508.04186202  1162489.879830835   101425.427474104      625.475743701     1159.220404022      643.928964476       12.878511455
 1284591.173822305  1243868.366262683   101904.758549508      635.407096185     1175.152699482      642.007294407       13.679433161
 1378673.348652843  1334751.416426634   102450.730316135      645.859487811     1187.489113234      636.760891949       14.598061743
  1475605.76496677  1428646.470952526   103046.013975852       656.02951225     1206.080201716      636.657924048        15.49448236
 1537054.960247876  1488191.769269964   103462.784913267       662.19890511     1217.828491132      637.037947777       16.055882857
 1559733.013179834  1510170.488220333   103650.811180939      664.416510659     1222.119688435      637.278485207       16.262018288
 1529233.825857769  1480610.761477656   103541.978004956      661.383796975     1216.234607228      637.138737278       15.985423431
 1528841.441270405  1480229.806403316   103607.552940186      661.323892635     1216.107461821      637.219806765       15.982217598
 1529299.018038542  1480672.558243797   103678.047247744      661.348589788     1216.143069642      637.306202797        15.98674782
 1529888.674658114  1481243.770771228   103749.350824935      661.385761286     1216.213770448       637.39996008       15.992412324
 1529767.276815422  1481125.441384753   103816.607788239      661.352843206     1216.138769719      637.482919347       15.991671397
 1530217.189727885  1481560.770891118   103887.180522168      661.376759288     1216.173001414      637.569368657       15.996131037
 1530621.848988288  1481952.246574609   103957.534685327      661.396165665     1216.198609636      637.655576577       16.000178446
 1530963.247115713  1482282.417895737    104027.56749534      661.409275342      1216.21217261      637.741444107       16.003649635
 1531315.154296086   1482622.77511909   104097.701479377      661.423424735     1216.227775514       637.82740921        16.00721622
 1531910.655263469  1483199.197162221   104169.269832992      661.461774232     1216.289835666       637.91481365       16.013000486
 1531945.794659821  1483233.045498678   104237.685672634      661.443784984     1216.255008838      638.005587839       16.013614104
 1532433.411045725  1483705.031769886   104297.341436708      661.474871462      1216.30510904      638.078418173       16.018355337
 1533361.457853589  1484603.720161037   104370.924954627       661.54620514     1216.430466944      638.167763169       16.027167016
 1534340.580719724  1485551.905279165   104444.839964863      661.622560542     1216.565452946      638.257395747       16.036443407
 1533807.317971928  1485034.472470532   104510.154694138      661.548819177     1216.412877268      638.338581133       16.031948521
 1533909.584819361  1485132.921131499   104579.143443314      661.538150758      1216.38124751       638.42340564       16.033239798
 1534264.974767917  1485476.666296117    104649.61866994       661.55260096     1216.397767266      638.509663951       16.036835875
 1534454.942507981  1485660.572681119   104719.203174042      661.549985466     1216.392818067      638.601654373       16.038856586
 1535171.665525011  1486354.476177094   104791.821068949      661.600264576     1216.477967293      638.689914154       16.045743032
 1535420.339401041  1486594.811865977   104861.811153458      661.604114079     1216.474343387       638.77571184       16.048366264
 1535678.160920192  1486844.014440017   104931.895043388      661.608869006     1216.472508187      638.861604692       16.051072445
 1536173.015586447  1487322.917241684   105003.370419756      661.637115405     1216.515617431      638.948765383       16.055937416
 1536519.931967957  1487658.567065869   105062.591610681       661.65415834     1216.539154521      639.021081406       16.059395085
 1536847.567376414  1487975.428025349    105133.19001405      661.665818876     1216.550644088      639.107438517       16.062736369
 1537103.788832261   1488223.55349301   105203.435093934      661.669754384     1216.558591163      639.200082304        16.06535802
 1537482.126799238  1488589.551685884   105274.404783194      661.686429351     1216.579756165      639.286776609       16.069160521
 1538072.368652185  1489160.895261377   105346.620321767      661.724076744     1216.640978741      639.374545499       16.074893295
  1538512.33531672  1489586.616765755   105418.022255149      661.746833887     1216.673817737       639.46159705       16.079256782
  1539093.05784586  1490148.737366604   105490.264905508      661.783508403     1216.733233728      639.549356715       16.084902412
 1539425.700308677  1490470.460124861   105561.139023249      661.795627491     1216.745854033      639.635944062       16.088287616
  1539806.72165468  1490839.065465864   105632.329289097      661.812526734     1216.767632737      639.722799084       16.092113306
 1540018.414724376  1491044.056194595   105702.611435822      661.812032025     1216.767492785      639.815524715       16.094326782
 1540068.428546082  1491091.910394544   105772.007058733      661.796196629     1216.727029745      639.900935893       16.095135536
 1540485.903280813  1491495.846322251   105843.528978446      661.816691661     1216.755814055      639.988087432       16.099292375
 1540814.999921917  1491814.244077832   105903.055492373      661.831906729     1216.776282257      640.060652277       16.102584891
 1541220.171339222  1492206.260517006    105974.58328325      661.851171709     1216.802797259      640.147805722       16.106629122
 1541630.475406891  1492603.252068868   106046.181429836      661.870936228     1216.830302088      640.235013494       16.110719862
 1542055.833400662   1493014.83255255   106117.906097741      661.892179761     1216.860658455      640.322318141       16.114947537
 1542288.774274748  1493240.429930093   106188.594469747       661.89377346     1216.864902881      640.415478413       16.117351826
 1542783.841641494  1493719.562962556   106260.796429755      661.921886775      1216.90840365      640.503152038        16.12221426
